주제,내용,길이
국선도의 통기법,진정한 도의 입문 단계이다. 본격적인 정신수련 및 초자연적 수련으로 들어가게 된다.,46
국선도의 진기단법,"진기단법에서는 원기단법에서 하던 흡지의 길이를 40초, 50초까지 늘리게 된다. 또한, 임독유통을 이전에는 몇 가지 동작에서 시도를 하는 정도였다면 진기단법에서는 임독유통이 자유자재로 될 때까지 수련하며 영체를 몸에서 분리해내어 같이 수련을 하기 시작한다.",143
국선도의 삼합단법,여기서부터는 사실 매우 초자연적인 현상이 일어나지 않으면 수련이 불가능한 단계라 이론적인 설명만 적도록 하겠다. 진기단법에서 흡지가 매우 길어지게 되면 숨을 뱉지 않았는데도 내쉴 때 뱉을 숨이 얼마 남지 않게 된다. 이것이 피부호흡의 시작인데 삼합단법에서는 수련 중에 코로 하는 호흡을 최대한 줄이고 점점 피부호흡으로 대체해 나가는 단법이다.,191
국선도의 조리단법,"조리단법에서는 피부호흡만으로 기운을 모아 임독, 12경, 14경, 365혈 기운을 모두 유통시키는 단법이다.",60
국선도의 선도법,하늘과 하나가 되는 단법,13
국선도의 삼청단법,한없이 많은 수로 분신을 하여 하는 수련,22
국선도의 무진단법,몸과 마음을 따로 분리하여 한없이 많은 수로 나누어 하는 수련,34
국선도의 장부강화운동,보통 도장에서는 정리운동 후에 하게 되는데 여러 가지 동작을 취하면서 단전의 기운을 해당 장부로 보내어 장부를 강화시키는 운동이다.,73
국선도의 진공단법,"몸과 마음을 끝없이 흩어 먼지도 남지 않게 나누었다가 다시 합치는 수련
준비운동이 행공을 하기 전에 몸이 부드럽게 이완되도록 해주는 운동이었다면 정리운동은 행공을 하면서 모아두었던 기를 전신에 뻗치고 돌려주는 운동이다. 준비운동보다 난도 높은 동작들이 많으나 행공이 잘 이루어졌다면 오히려 힘이 나 더 쉽게 되는 현상을 경험할 수 있다. 정리운동의 주의사항 또한 기혈순환유통법과 같다. 항상 동작 시에 숨을 멈추고 기를 돌려야 하며 절대 무리해서는 안 된다.",256
국선도의 내기전신행법,"보통 줄여서 기신법이라고 많이 부른다. 신장, 방광, 심장, 소장, 간장, 쓸개, 폐, 대장, 비장, 위장을 각각 강화하게 되어 있다. 꽤 힘든 동작들을 지식 상태에서 해야 하기 때문에 숨이 찰 수 있다. 꼭 동작 사이 사이에 심호흡을 하여 숨을 완전히 고르고 다음 동작으로 넘어가도록 하자.",163
국선도의 천화법,내기전신행법의 업그레이드판이라고 볼 수 있다. 보통 천화법은 원기단법이 끝날 때즈음부터 시작한다고 한다.,58
국선도의 기화법,국선도의 무술이다. 관련 자료가 많지 않고 일반 수련장에서도 적극적으로 지도하지 않는다. 종류도 많고 무기술까지 있다고 하니 자세한 사항은 각 도장 사범에게 문의해보자.,94
